id,【Adventure】,【Fantasy】,【Animation】,【Drama】,【Action】,【Comedy】,【Thriller】,【Crime】,【Science Fiction】,【Family】,【Columbia Pictures】,【Warner Bros】,【Universal Pictures】,【man】,【war】,【based on】,【release_date】,【revenue】,【runtime】
108,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.835997013,0.147268222,0.307086614
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.584241972,0.159322508,0.858267717
110,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.750634802,0.252956992,0.551181102
111,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.679835698,0.057983456,0.795275591
112,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.750709485,0.335093934,0.503937008
113,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.705899925,0.319891894,0.653543307
114,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.778267364,0.222158586,0.141732283
115,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0.763330844,0.208254667,0.212598425
116,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.697311426,0.168577736,0.322834646
117,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.750261389,0.222048393,0.291338583
118,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0.694846901,0.132362431,0.519685039
119,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.787303958,0.214923074,0.118110236
120,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.802389843,0.146340806,0.244094488
121,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.800746826,0.131946968,0.25984252
122,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0.651306945,0.150611887,0.433070866
123,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.925765497,0.455873674,0.220472441
124,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0.638312173,0.26334167,0.503937008
125,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.923599701,0.229542559,0.299212598
126,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0.965496639,0.134030191,0.362204724
127,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.801867065,0.12603411,0.503937008
128,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.854742345,0.159360493,0.322834646
129,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.788946975,0.109271401,0.188976378
130,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.807020164,0.103102348,0.11023622
131,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.880209111,0.106043481,0.196850394
132,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.88334578,0.086103387,0.307086614
133,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.970799104,0.243115193,0.448818898
134,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.759820762,0.10122481,0.133858268
135,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.857281553,0.237134602,0.133858268
136,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.832710978,0.112335026,0.228346457
137,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.719268111,0.140856877,0.409448819
138,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0.914339059,0.071667454,0.448818898
